run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0,0,False,0,0,0,1,1.0
2,0,0,False,1,0,0,1,1
3,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
4,0,0,False,0,0,0,1,1
5,1.0000000000287557e-06,0.999999,True,1,0.999999,1.0000000000287557e-06,1,0.999999
6,0,1,True,1,1,0,1,1
7,0,0,False,1,0,0,1,1
8,0,0,False,1,0,0,1,1
9,1,0,True,0,1,0,1,1
10,1,0,True,0,1,0,1,1
11,1,0,True,0,1,0,1,1
12,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
