run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
2,0,0,False,0,0,0,1,1.0
3,0,0,False,0,0,0,1,1.0
4,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
5,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
6,0,0,False,0,0,0,1,1
7,0,0,False,0,0,0,1,1
8,0,0,False,0,0,0,1,1
9,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
10,0,0,False,0,0,0,1,1
11,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
12,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
