run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.010000000000000009,0.99,True,1,0.99,0.010000000000000009,1,0.99
2,0.5,0.5,True,0,0.5,0.5,1,0.5
3,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
4,0.5,0.5,True,0,0.5,0.5,2,0.5
5,0.99,0.010000000000000009,True,1,0.99,0.010000000000000009,2,0.99
6,0.0010000000000000009,0.999,True,1,0.999,0.0010000000000000009,1,0.999
7,0.09999999999999998,0.9,True,1,0.9,0.09999999999999998,1,0.9
8,0,0,False,0,0,0,1,1
9,0.4,0.6,True,1,0.6,0.4,3,0.6
10,0.526,0.474,True,0,0.526,0.474,1,0.526
11,0.09999999999999998,0.9,True,0,0.9,0.09999999999999998,2,0.9
12,0.9,0.09999999999999998,True,0,0.9,0.09999999999999998,3,0.9
