run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.06666666666666665,0.6,True,0,0.6,0.06666666666666665,2,0.4
2,0.16666666666666666,0.5,True,1,0.5,0.16666666666666666,1,0.25
3,0.6666666666666666,0.0,True,0,0.6666666666666666,0.0,1,0.5
4,0.16666666666666666,0.5,True,0,0.5,0.16666666666666666,2,0.25
5,0.16666666666666666,0.5,True,1,0.5,0.16666666666666666,1,0.25
6,0.3684,0.2982666666666667,True,0,0.3684,0.2982666666666667,1,0.0526
7,0.16666666666666666,0.5,True,0,0.5,0.16666666666666666,2,0.25
8,0.666,0.0006666666666666673,True,1,0.666,0.0006666666666666673,2,0.499
9,0.0,0.6666666666666666,True,1,0.6666666666666666,0.0,1,0.5
10,0.13333333333333333,0.5333333333333333,True,1,0.5333333333333333,0.13333333333333333,3,0.3
11,0.0006666666666666673,0.666,True,0,0.666,0.0006666666666666673,2,0.499
12,0.6,0.06666666666666665,True,0,0.6,0.06666666666666665,1,0.4
