run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.0006666666666666673,0.666,True,1,0.666,0.0006666666666666673,2,0.499
2,0.0006666666666666673,0.666,True,1,0.666,0.0006666666666666673,2,0.499
3,0.6,0.06666666666666665,True,0,0.6,0.06666666666666665,2,0.4
4,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,2,0.499
5,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,2,0.499
6,0.3334,0.33326666666666666,True,0,0.3334,0.33326666666666666,2,0.0001
7,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,2,0.499
8,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,2,0.499
9,0.66,0.006666666666666672,True,0,0.66,0.006666666666666672,2,0.49
10,0.0006666666666666673,0.666,True,1,0.666,0.0006666666666666673,2,0.499
11,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,2,0.499
12,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,2,0.499
