run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.5,0.5,True,0,0.5,0.5,2,0.5
2,0.09999999999999998,0.9,True,0,0.9,0.09999999999999998,2,0.9
3,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
4,0.010000000000000009,0.99,True,1,0.99,0.010000000000000009,1,0.99
5,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
6,0.9,0.09999999999999998,True,1,0.9,0.09999999999999998,2,0.9
7,0.9,0.09999999999999998,True,1,0.9,0.09999999999999998,2,0.9
8,0.5,0.5,True,0,0.5,0.5,1,0.5
9,0.010000000000000009,0.99,True,1,0.99,0.010000000000000009,1,0.99
10,0.9,0.09999999999999998,True,1,0.9,0.09999999999999998,2,0.9
11,0.09999999999999998,0.9,True,1,0.9,0.09999999999999998,1,0.9
12,0.6,0.4,True,0,0.6,0.4,1,0.6
