run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.6666666666666666,0.0,True,0,0.6666666666666666,0.0,1,0.5
2,0.0,0.6666666666666666,True,1,0.6666666666666666,0.0,1,0.5
3,0.6666666666666666,0.0,True,1,0.6666666666666666,0.0,2,0.5
4,0,0,False,1,0,0,2,0.49
5,0.6,0.06666666666666665,True,1,0.6,0.06666666666666665,2,0.4
6,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,1,0.499
7,0.0,0.6666666666666666,True,1,0.6666666666666666,0.0,1,0.5
8,0.06666666666666665,0.6,True,0,0.6,0.06666666666666665,2,0.4
9,0.16666666666666666,0.5,True,0,0.5,0.16666666666666666,2,0.25
10,0.6666666666666666,0.0,True,0,0.6666666666666666,0.0,1,0.5
11,0.5,0.16666666666666666,True,1,0.5,0.16666666666666666,2,0.25
12,0.6,0.06666666666666665,True,1,0.6,0.06666666666666665,2,0.4
