run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.6666666666666666,0.0,True,0,0.6666666666666666,0.0,1,0.5
2,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,2,0.499
3,0.3333333333333333,0.3333333333333333,True,0,0.3333333333333333,0.3333333333333333,2,0
4,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,2,0.499
5,0.0006666666666666673,0.666,True,1,0.666,0.0006666666666666673,2,0.499
6,0.0,0.6666666666666666,True,1,0.6666666666666666,0.0,1,0.5
7,0.6,0.06666666666666665,True,0,0.6,0.06666666666666665,2,0.4
8,0.66,0.006666666666666672,True,0,0.66,0.006666666666666672,2,0.49
9,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,2,0.499
10,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,2,0.499
11,0.16666666666666666,0.5,True,1,0.5,0.16666666666666666,2,0.25
12,0.66,0.006666666666666672,True,0,0.66,0.006666666666666672,2,0.49
