run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.5,0.5,True,0,0.5,0.5,2,0.5
2,0.09999999999999998,0.9,True,0,0.9,0.09999999999999998,2,0.9
3,0.5,0.5,True,1,0.5,0.5,1,0.5
4,0.4,0.6,True,1,0.6,0.4,1,0.6
5,0.9,0.09999999999999998,True,0,0.9,0.09999999999999998,1,0.9
6,0.5,0.5,True,1,0.5,0.5,1,0.5
7,0.9,0.09999999999999998,True,0,0.9,0.09999999999999998,1,0.9
8,0.55,0.44999999999999996,True,0,0.55,0.44999999999999996,1,0.55
9,0.5,0.5,True,0,0.5,0.5,1,0.5
10,0.5,0.5,True,0,0.5,0.5,1,0.5
11,0.5,0.5,True,1,0.5,0.5,1,0.5
12,0.9,0.09999999999999998,True,0,0.9,0.09999999999999998,1,0.9
