run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0,1,True,0,0,1,1,0
2,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
3,0.01,0.99,True,0,0.01,0.99,1,0.01
4,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,2,0.99
5,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,2,0.99
6,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
7,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,2,0.99
8,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,2,0.99
9,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
10,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
11,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
12,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
