run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.66,0.006666666666666672,True,0,0.66,0.006666666666666672,2,0.49
2,0.6,0.06666666666666665,True,0,0.6,0.06666666666666665,2,0.4
3,0.5,0.16666666666666666,True,0,0.5,0.16666666666666666,2,0.25
4,0.0,0.6666666666666666,True,1,0.6666666666666666,0.0,1,0.5
5,0.006666666666666672,0.66,True,1,0.66,0.006666666666666672,2,0.49
6,0.66,0.006666666666666672,True,0,0.66,0.006666666666666672,2,0.49
7,0.13333333333333333,0.5333333333333333,True,1,0.5333333333333333,0.13333333333333333,1,0.3
8,0.0,0.6666666666666666,True,1,0.6666666666666666,0.0,1,0.5
9,0.006666666666666672,0.66,True,1,0.66,0.006666666666666672,2,0.49
10,0.006666666666666672,0.66,True,1,0.66,0.006666666666666672,2,0.49
11,0.66,0.006666666666666672,True,0,0.66,0.006666666666666672,2,0.49
12,0.0006666666666666673,0.666,True,1,0.666,0.0006666666666666673,2,0.499
