run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.0,1.0,True,1,1.0,0.0,1,1.0
2,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
3,1.0,0.0,True,0,1.0,0.0,1,1.0
4,0.010000000000000009,0.99,True,1,0.99,0.010000000000000009,1,0.99
5,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
6,0.0,1.0,True,1,1.0,0.0,1,1.0
7,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
8,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
9,0.0,1.0,True,1,1.0,0.0,1,1.0
10,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
11,1,0,True,0,1,0,1,1
12,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
