run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.010000000000000009,0.99,True,1,0.99,0.010000000000000009,1,0.99
2,0.010000000000000009,0.99,True,1,0.99,0.010000000000000009,1,0.99
3,0.010000000000000009,0.99,True,1,0.99,0.010000000000000009,1,0.99
4,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
5,1.0,0.0,True,0,1.0,0.0,1,1.0
6,0.010000000000000009,0.99,True,1,0.99,0.010000000000000009,1,0.99
7,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
8,0.010000000000000009,0.99,True,1,0.99,0.010000000000000009,1,0.99
9,0.0010000000000000009,0.999,True,1,0.999,0.0010000000000000009,1,0.999
10,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
11,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
12,0.010000000000000009,0.99,True,1,0.99,0.010000000000000009,1,0.99
