run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.999999,1.0000000000287557e-06,True,0,0.999999,1.0000000000287557e-06,1,0.999999
2,0.0010000000000000009,0.999,True,1,0.999,0.0010000000000000009,1,0.999
3,1.0000000000287557e-06,0.999999,True,1,0.999999,1.0000000000287557e-06,1,0.999999
4,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
5,0.0010000000000000009,0.999,True,1,0.999,0.0010000000000000009,1,0.999
6,0.0010000000000000009,0.999,True,1,0.999,0.0010000000000000009,1,0.999
7,1.0,0.0,True,0,1.0,0.0,1,1.0
8,0.0010000000000000009,0.999,True,1,0.999,0.0010000000000000009,1,0.999
9,0.99999,9.99999999995449e-06,True,0,0.99999,9.99999999995449e-06,1,0.99999
10,1.0000000000287557e-06,0.999999,True,1,0.999999,1.0000000000287557e-06,1,0.999999
11,1.0000000000287557e-06,0.999999,True,1,0.999999,1.0000000000287557e-06,1,0.999999
12,0.0010000000000000009,0.999,True,1,0.999,0.0010000000000000009,1,0.999
