run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0,0,False,0,0,0,1,0.6915
2,0.3428,0.6572,True,0,0.3428,0.6572,1,0.3428
3,0.4737,0.5263,True,1,0.5263,0.4737,3,0.5263
4,0.73,0.27,True,1,0.73,0.27,2,0.73
5,0.6572,0.3428,True,0,0.3428,0.6572,2,0.3428
6,0.343,0.657,True,0,0.343,0.657,1,0.343
7,0.6573,0.3427,True,1,0.3427,0.6573,1,0.3427
8,0.3427,0.6573,True,1,0.3427,0.6573,2,0.3427
9,0.73,0.27,True,1,0.73,0.27,2,0.73
10,0.3428,0.6572,True,0,0.3428,0.6572,1,0.3428
11,0,0,False,0,0,0,1,0.6916
12,0.3428,0.6572,True,0,0.3428,0.6572,1,0.3428
