run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.6666666666666666,0.0,True,0,0.6666666666666666,0.0,1,0.5
2,0.18000000000000002,0.48666666666666664,True,1,0.48666666666666664,0.18000000000000002,3,0.23
3,0.3158,0.35086666666666666,True,0,0.35086666666666666,0.3158,2,0.0263
4,0.6666666666666666,0.0,True,1,0.6666666666666666,0.0,4,0.5
5,0.3506666666666667,0.316,True,1,0.3506666666666667,0.316,4,0.026
6,0.6666666666666666,0.0,True,0,0.6666666666666666,0.0,1,0.5
7,0.3506666666666667,0.316,True,0,0.3506666666666667,0.316,3,0.026
8,0.6666666666666666,0.0,True,0,0.6666666666666666,0.0,1,0.5
9,0.18000000000000002,0.48666666666666664,True,0,0.48666666666666664,0.18000000000000002,2,0.23
10,0.35086666666666666,0.3158,True,0,0.35086666666666666,0.3158,5,0.0263
11,0.006666666666666672,0.66,True,0,0.66,0.006666666666666672,6,0.49
12,0.6666666666666666,0.0,True,1,0.6666666666666666,0.0,2,0.5
