run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.6572,0.3428,True,0,0.3428,0.6572,2,0.3428
2,0.26980000000000004,0.7302,True,0,0.7302,0.26980000000000004,2,0.7302
3,0.6572,0.3428,True,1,0.3428,0.6572,1,0.3428
4,0.657,0.343,True,1,0.343,0.657,1,0.343
5,0.526,0.474,True,1,0.526,0.474,2,0.526
6,0.3427,0.6573,True,0,0.3427,0.6573,1,0.3427
7,0.343,0.657,True,0,0.343,0.657,1,0.343
8,0.3428,0.6572,True,0,0.3428,0.6572,1,0.3428
9,0.657,0.343,True,1,0.343,0.657,1,0.343
10,0.474,0.526,True,0,0.526,0.474,2,0.526
11,0.3428,0.6572,True,0,0.3428,0.6572,1,0.3428
12,0.6573,0.3427,True,1,0.3427,0.6573,1,0.3427
