run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
2,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
3,0.0010000000000000009,0.999,True,1,0.999,0.0010000000000000009,2,0.999
4,0.0010000000000000009,0.999,True,1,0.999,0.0010000000000000009,1,0.999
5,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
6,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
7,0.010000000000000009,0.99,True,1,0.99,0.010000000000000009,1,0.99
8,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
9,0.0010000000000000009,0.999,True,1,0.999,0.0010000000000000009,1,0.999
10,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
11,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
12,0.010000000000000009,0.99,True,1,0.99,0.010000000000000009,1,0.99
