run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.0,0.6666666666666666,True,1,0.6666666666666666,0.0,3,0.5
2,0.35086666666666666,0.3158,True,1,0.35086666666666666,0.3158,2,0.0263
3,0.0,0.6666666666666666,True,1,0.6666666666666666,0.0,3,0.5
4,0.35086666666666666,0.3158,True,1,0.35086666666666666,0.3158,2,0.0263
5,0.6666666666666666,0.0,True,1,0.6666666666666666,0.0,2,0.5
6,0.3506666666666667,0.316,True,1,0.3506666666666667,0.316,2,0.026
7,0.0,0.6666666666666666,True,1,0.6666666666666666,0.0,5,0.5
8,0.35086666666666666,0.3158,True,1,0.35086666666666666,0.3158,2,0.0263
9,0.35086666666666666,0.3158,True,1,0.35086666666666666,0.3158,2,0.0263
10,0,0,False,0,0,0,1,0.5
11,0.316,0.3506666666666667,True,1,0.3506666666666667,0.316,1,0.026
12,0.48679999999999995,0.1798666666666667,True,1,0.48679999999999995,0.1798666666666667,2,0.2302
