run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.6666666666666666,0.0,True,0,0.6666666666666666,0.0,1,0.5
2,0.0,0.6666666666666666,True,1,0.6666666666666666,0.0,1,0.5
3,0.6666666666666666,0.0,True,0,0.6666666666666666,0.0,1,0.5
4,0.6666666666666666,0.0,True,0,0.6666666666666666,0.0,1,0.5
5,0.6666666666666666,0.0,True,0,0.6666666666666666,0.0,1,0.5
6,0.0,0.6666666666666666,True,1,0.6666666666666666,0.0,1,0.5
7,6.666666666665932e-05,0.6666,True,1,0.6666,6.666666666665932e-05,2,0.4999
8,0.0002666666666666743,0.6664,True,1,0.6664,0.0002666666666666743,5,0.4996
9,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,2,0.499
10,0.66,0.006666666666666672,True,0,0.66,0.006666666666666672,2,0.49
11,0.0,0.6666666666666666,True,1,0.6666666666666666,0.0,1,0.5
12,0.0,0.6666666666666666,True,1,0.6666666666666666,0.0,1,0.5
