run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.5263,0.4737,True,1,0.5263,0.4737,2,0.5263
2,0.6573,0.3427,True,0,0.3427,0.6573,2,0.3427
3,0.6573,0.3427,True,1,0.3427,0.6573,1,0.3427
4,0.7002999999999999,0.2997,True,1,0.2997,0.7002999999999999,3,0.2997
5,0.6573,0.3427,True,1,0.3427,0.6573,1,0.3427
6,0.73,0.27,True,1,0.73,0.27,2,0.73
7,0.343,0.657,True,0,0.343,0.657,1,0.343
8,0.526,0.474,True,0,0.526,0.474,1,0.526
9,0.7002999999999999,0.2997,True,1,0.2997,0.7002999999999999,3,0.2997
10,0.3,0.7,True,0,0.3,0.7,3,0.3
11,0.5263,0.4737,True,0,0.5263,0.4737,1,0.5263
12,0.6573,0.3427,True,1,0.3427,0.6573,1,0.3427
