run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.35086666666666666,0.3158,True,0,0.35086666666666666,0.3158,1,0.0263
2,0.35000000000000003,0.31666666666666665,True,1,0.35000000000000003,0.31666666666666665,2,0.025
3,0.0,0.6666666666666666,True,1,0.6666666666666666,0.0,1,0.5
4,0.6666666666666666,0.0,True,0,0.6666666666666666,0.0,3,0.5
5,0.3506666666666667,0.316,True,0,0.3506666666666667,0.316,3,0.026
6,0.35086666666666666,0.3158,True,0,0.35086666666666666,0.3158,1,0.0263
7,0.3158,0.35086666666666666,True,1,0.35086666666666666,0.3158,3,0.0263
8,0.3158,0.35086666666666666,True,1,0.35086666666666666,0.3158,3,0.0263
9,0.0,0.6666666666666666,True,1,0.6666666666666666,0.0,1,0.5
10,0.35086666666666666,0.3158,True,0,0.35086666666666666,0.3158,5,0.0263
11,0.3506666666666667,0.316,True,0,0.3506666666666667,0.316,3,0.026
12,0,0,False,0,0,0,10,0.5
