run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.657,0.343,True,1,0.343,0.657,1,0.343
2,0.657,0.343,True,1,0.343,0.657,1,0.343
3,0.526,0.474,True,1,0.526,0.474,2,0.526
4,0.73,0.27,True,1,0.73,0.27,2,0.73
5,0.6599999999999999,0.34,True,1,0.34,0.6599999999999999,1,0.34
6,0.7781,0.2219,True,1,0.7781,0.2219,4,0.7781
7,0.343,0.657,True,0,0.343,0.657,1,0.343
8,0.657,0.343,True,0,0.343,0.657,2,0.343
9,0.343,0.657,True,0,0.343,0.657,1,0.343
10,0.657,0.343,True,1,0.343,0.657,1,0.343
11,0.657,0.343,True,1,0.343,0.657,1,0.343
12,0.3428,0.6572,True,0,0.3428,0.6572,1,0.3428
