run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
2,0.0,1.0,True,1,1.0,0.0,1,1.0
3,0.0,1.0,True,1,1.0,0.0,1,1.0
4,0.0,1.0,True,0,0.0,1.0,1,0.0
5,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
6,1.0,0.0,True,1,0.0,1.0,1,0.0
7,1.0,0.0,True,0,1.0,0.0,1,1.0
8,1,0,True,1,0,1,1,0
9,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
10,1.0,0.0,True,0,1.0,0.0,1,1.0
11,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
12,0.010000000000000009,0.99,True,1,0.99,0.010000000000000009,1,0.99
