run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.3158,0.35086666666666666,True,0,0.35086666666666666,0.3158,2,0.0263
2,0.3158,0.35086666666666666,True,1,0.35086666666666666,0.3158,1,0.0263
3,0.0,0.6666666666666666,True,1,0.6666666666666666,0.0,3,0.5
4,0.35086666666666666,0.3158,True,1,0.35086666666666666,0.3158,2,0.0263
5,0.206,0.4606666666666667,True,1,0.4606666666666667,0.206,1,0.191
6,0.35086666666666666,0.3158,True,0,0.35086666666666666,0.3158,1,0.0263
7,0.316,0.3506666666666667,True,0,0.3506666666666667,0.316,2,0.026
8,0.0,0.6666666666666666,True,1,0.6666666666666666,0.0,1,0.5
9,0.3158,0.35086666666666666,True,0,0.35086666666666666,0.3158,2,0.0263
10,0.35086666666666666,0.3158,True,0,0.35086666666666666,0.3158,3,0.0263
11,0.6666666666666666,0.0,True,1,0.6666666666666666,0.0,10,0.5
12,0.35086666666666666,0.3158,True,0,0.35086666666666666,0.3158,1,0.0263
