run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
2,9.99999999995449e-06,0.99999,True,1,0.99999,9.99999999995449e-06,1,0.99999
3,9.999999999998899e-05,0.9999,True,1,0.9999,9.999999999998899e-05,1,0.9999
4,9.999999999998899e-05,0.9999,True,1,0.9999,9.999999999998899e-05,1,0.9999
5,1.0000000000287557e-06,0.999999,True,1,0.999999,1.0000000000287557e-06,1,0.999999
6,0,0,False,0,0,0,1,1
7,0.999999,1.0000000000287557e-06,True,0,0.999999,1.0000000000287557e-06,1,0.999999
8,1.0000000000287557e-06,0.999999,True,1,0.999999,1.0000000000287557e-06,1,0.999999
9,1.0000000000287557e-06,0.999999,True,1,0.999999,1.0000000000287557e-06,1,0.999999
10,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
11,9.999999999998899e-05,0.9999,True,1,0.9999,9.999999999998899e-05,1,0.9999
12,9.999999999998899e-05,0.9999,True,1,0.9999,9.999999999998899e-05,1,0.9999
