run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.9999,9.999999999998899e-05,True,0,0.9999,9.999999999998899e-05,1,0.9999
2,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
3,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
4,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
5,0.99999,9.99999999995449e-06,True,0,0.99999,9.99999999995449e-06,1,0.99999
6,0.999999,1.0000000000287557e-06,True,0,0.999999,1.0000000000287557e-06,1,0.999999
7,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
8,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
9,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
10,0.9999,9.999999999998899e-05,True,0,0.9999,9.999999999998899e-05,1,0.9999
11,0.999999,1.0000000000287557e-06,True,0,0.999999,1.0000000000287557e-06,1,0.999999
12,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
