run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0,0,False,0,0,0,1,1
2,0,0,False,0,0,0,1,1
3,0,0,False,0,0,0,1,1
4,0,0,False,0,0,0,1,1
5,0,0,False,0,0,0,1,1
6,0,0,False,0,0,0,1,1
7,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
8,0,0,False,0,0,0,1,1
9,0,0,False,0,0,0,1,1
10,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
11,0.99999,9.99999999995449e-06,True,0,0.99999,9.99999999995449e-06,1,0.99999
12,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
