run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.09999999999999998,0.9,True,1,0.9,0.09999999999999998,1,0.9
2,0.44999999999999996,0.55,True,1,0.55,0.44999999999999996,1,0.55
3,0,0,False,0,0,0,1,0.9
4,0.5,0.5,True,0,0.5,0.5,1,0.5
5,0.5,0.5,True,0,0.5,0.5,1,0.5
6,0.9,0.09999999999999998,True,0,0.9,0.09999999999999998,1,0.9
7,0.09999999999999998,0.9,True,0,0.9,0.09999999999999998,2,0.9
8,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,3,0.99
9,0.55,0.44999999999999996,True,0,0.55,0.44999999999999996,1,0.55
10,0.51,0.49,True,0,0.51,0.49,1,0.51
11,0.51,0.49,True,0,0.51,0.49,1,0.51
12,0.5,0.5,True,0,0.5,0.5,1,0.5
