run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0,0,False,1,0,0,1,0.4999
2,0.5,0.16666666666666666,True,0,0.5,0.16666666666666666,1,0.25
3,0.5,0.16666666666666666,True,0,0.5,0.16666666666666666,1,0.25
4,0.16666666666666666,0.5,True,0,0.5,0.16666666666666666,2,0.25
5,0.49333333333333335,0.17333333333333334,True,1,0.49333333333333335,0.17333333333333334,2,0.24
6,0.3333333333333333,0.3333333333333333,True,1,0.3333333333333333,0.3333333333333333,1,0
7,0.5,0.16666666666666666,True,0,0.5,0.16666666666666666,1,0.25
8,0.0006666666666666673,0.666,True,0,0.666,0.0006666666666666673,2,0.499
9,0.2333333333333333,0.43333333333333335,True,1,0.43333333333333335,0.2333333333333333,3,0.15
10,0.4666666666666666,0.19999999999999998,True,1,0.4666666666666666,0.19999999999999998,2,0.2
11,0.5333333333333333,0.13333333333333333,True,0,0.5333333333333333,0.13333333333333333,1,0.3
12,0.3,0.3666666666666667,True,1,0.3666666666666667,0.3,1,0.05
