run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.66,0.006666666666666672,True,0,0.66,0.006666666666666672,2,0.49
2,0.6666,6.666666666665932e-05,True,0,0.6666,6.666666666665932e-05,1,0.4999
3,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,2,0.499
4,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,2,0.499
5,0.6666,6.666666666665932e-05,True,0,0.6666,6.666666666665932e-05,1,0.4999
6,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,2,0.499
7,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,2,0.499
8,0.6666666666666666,0.0,True,0,0.6666666666666666,0.0,1,0.5
9,0.6666666666666666,0.0,True,0,0.6666666666666666,0.0,1,0.5
10,0.6666666666666666,0.0,True,0,0.6666666666666666,0.0,1,0.5
11,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,1,0.499
12,0.6666,6.666666666665932e-05,True,0,0.6666,6.666666666665932e-05,1,0.4999
