run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.9,0.09999999999999998,True,1,0.9,0.09999999999999998,2,0.9
2,0.09999999999999998,0.9,True,1,0.9,0.09999999999999998,1,0.9
3,0.6,0.4,True,0,0.6,0.4,1,0.6
4,0.6,0.4,True,0,0.6,0.4,1,0.6
5,0.09999999999999998,0.9,True,0,0.9,0.09999999999999998,2,0.9
6,0.25,0.75,True,1,0.75,0.25,3,0.75
7,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
8,0.5,0.5,True,0,0.5,0.5,1,0.5
9,0.4,0.6,True,0,0.6,0.4,2,0.6
10,0,0,False,1,0,0,1,0.9
11,0.9,0.09999999999999998,True,0,0.9,0.09999999999999998,1,0.9
12,0.5,0.5,True,1,0.5,0.5,1,0.5
