run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
2,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
3,0.9,0.09999999999999998,True,0,0.9,0.09999999999999998,2,0.9
4,0.010000000000000009,0.99,True,1,0.99,0.010000000000000009,1,0.99
5,0.010000000000000009,0.99,True,1,0.99,0.010000000000000009,1,0.99
6,0.0010000000000000009,0.999,True,1,0.999,0.0010000000000000009,1,0.999
7,0.19999999999999996,0.8,True,1,0.8,0.19999999999999996,2,0.8
8,0.5,0.5,True,1,0.5,0.5,2,0.5
9,0.010000000000000009,0.99,True,1,0.99,0.010000000000000009,1,0.99
10,0.010000000000000009,0.99,True,1,0.99,0.010000000000000009,1,0.99
11,0.010000000000000009,0.99,True,1,0.99,0.010000000000000009,1,0.99
12,0.95,0.050000000000000044,True,0,0.95,0.050000000000000044,2,0.95
