run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.006666666666666672,0.66,True,1,0.66,0.006666666666666672,1,0.49
2,0.0,0.6666666666666666,True,1,0.6666666666666666,0.0,1,0.5
3,0.0006666666666666673,0.666,True,1,0.666,0.0006666666666666673,2,0.499
4,6.666666666665932e-05,0.6666,True,1,0.6666,6.666666666665932e-05,1,0.4999
5,0.0006666666666666673,0.666,True,1,0.666,0.0006666666666666673,1,0.499
6,6.666666666665932e-05,0.6666,True,1,0.6666,6.666666666665932e-05,1,0.4999
7,0.0,0.6666666666666666,True,1,0.6666666666666666,0.0,1,0.5
8,0.033333333333333326,0.6333333333333333,True,1,0.6333333333333333,0.033333333333333326,2,0.45
9,0.6,0.06666666666666665,True,0,0.6,0.06666666666666665,3,0.4
10,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,1,0.499
11,6.666666666665932e-05,0.6666,True,1,0.6666,6.666666666665932e-05,1,0.4999
12,0.0006666666666666673,0.666,True,1,0.666,0.0006666666666666673,1,0.499
