run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.19999999999999996,0.8,True,0,0.8,0.19999999999999996,2,0.8
2,0.6,0.4,True,0,0.6,0.4,1,0.6
3,0.55,0.44999999999999996,True,0,0.55,0.44999999999999996,1,0.55
4,0.5,0.5,True,0,0.5,0.5,1,0.5
5,0.5,0.5,True,0,0.5,0.5,2,0.5
6,0.55,0.44999999999999996,True,0,0.55,0.44999999999999996,1,0.55
7,0.4737,0.5263,True,1,0.5263,0.4737,1,0.5263
8,0.1,0.9,True,0,0.1,0.9,1,0.1
9,0.5,0.5,True,1,0.5,0.5,1,0.5
10,0.51,0.49,True,0,0.51,0.49,3,0.51
11,0.44999999999999996,0.55,True,1,0.55,0.44999999999999996,1,0.55
12,0.8,0.2,True,0,0.2,0.8,2,0.2
