run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.010000000000000009,0.99,True,1,0.99,0.010000000000000009,1,0.99
2,0.5,0.5,True,1,0.5,0.5,2,0.5
3,0.5,0.5,True,1,0.5,0.5,1,0.5
4,0.19999999999999996,0.8,True,1,0.8,0.19999999999999996,2,0.8
5,0.5,0.5,True,0,0.5,0.5,1,0.5
6,0.5,0.5,True,1,0.5,0.5,1,0.5
7,0.5,0.5,True,1,0.5,0.5,1,0.5
8,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
9,0.5,0.5,True,0,0.5,0.5,1,0.5
10,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
11,0.5,0.5,True,0,0.5,0.5,1,0.5
12,0.5,0.5,True,1,0.5,0.5,2,0.5
