run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.0006666666666666673,0.666,True,0,0.666,0.0006666666666666673,2,0.499
2,0.013333333333333345,0.6533333333333333,True,1,0.6533333333333333,0.013333333333333345,3,0.48
3,0.6533333333333333,0.013333333333333345,True,1,0.6533333333333333,0.013333333333333345,2,0.48
4,0.5,0.16666666666666666,True,0,0.5,0.16666666666666666,1,0.25
5,0.11333333333333333,0.5533333333333333,True,1,0.5533333333333333,0.11333333333333333,3,0.33
6,0.6,0.06666666666666665,True,1,0.6,0.06666666666666665,2,0.4
7,0.666,0.0006666666666666673,True,0,0.666,0.0006666666666666673,1,0.499
8,0.3333333333333333,0.3333333333333333,True,1,0.3333333333333333,0.3333333333333333,1,0
9,0.16666666666666666,0.5,True,1,0.5,0.16666666666666666,1,0.25
10,0.6333333333333333,0.033333333333333326,True,1,0.6333333333333333,0.033333333333333326,4,0.45
11,0.06000000000000002,0.6066666666666666,True,1,0.6066666666666666,0.06000000000000002,3,0.41
12,0.3333333333333333,0.3333333333333333,True,1,0.3333333333333333,0.3333333333333333,1,0
