run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision_x1,proposer_last_decision_x2,responder_last_response_y1,responder_last_response_y2
1,0.3333333333333333,0.3333333333333333,True,1,0.3333333333333333,0.3333333333333333,1,0,1,0,1
2,0.3333333333333333,0.3333333333333333,True,1,0.3333333333333333,0.3333333333333333,1,0,1,0,1
3,0.3333333333333333,0.3333333333333333,True,1,0.3333333333333333,0.3333333333333333,1,0,1,0,1
4,0.3333333333333333,0.3333333333333333,True,1,0.3333333333333333,0.3333333333333333,1,0,1,0,1
5,0.3333333333333333,0.3333333333333333,True,0,0.3333333333333333,0.3333333333333333,1,0,1,0,1
6,0.3333333333333333,0.3333333333333333,True,1,0.3333333333333333,0.3333333333333333,1,0,1,0,1
7,0.3333333333333333,0.3333333333333333,True,1,0.3333333333333333,0.3333333333333333,1,0,1,0,1
8,0.3333333333333333,0.3333333333333333,True,1,0.3333333333333333,0.3333333333333333,1,0,1,0,1
9,0.3333333333333333,0.3333333333333333,True,1,0.3333333333333333,0.3333333333333333,1,0,1,0,1
10,0.3333333333333333,0.3333333333333333,True,0,0.3333333333333333,0.3333333333333333,2,0,1,0,1
11,0.3333333333333333,0.3333333333333333,True,0,0.3333333333333333,0.3333333333333333,2,0,1,0,1
12,0.3333333333333333,0.3333333333333333,True,1,0.3333333333333333,0.3333333333333333,1,0,1,0,1
