agent0 payoff mean,agent0 payoff min,agent1 payoff mean,agent1 payoff min,deal mean,last timestep mean,last timestep min,last proposer payoff mean,last proposer payoff min,last responder payoff mean,last responder payoff min,proposer last decision x1 mean,proposer last decision x1 min,proposer last decision x2 mean,proposer last decision x2 min,responder last response y1 mean,responder last response y1 min,responder last response y2 mean,responder last response y2 min,file name,task
$0.28 \pm 0.13$,"$0.00, 0.33$",$0.28 \pm 0.13$,"$0.00, 0.33$",$0.83 \pm 0.39$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.28 \pm 0.13$,"$0.00, 0.33$",$0.28 \pm 0.13$,"$0.00, 0.33$",$0.17 \pm 0.39$,"$0.00, 1.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.83 \pm 0.39$,"$0.00, 1.00$",74_task=signaling_duration=one_shot_scenario=pure_math_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,signaling
$0.31 \pm 0.10$,"$0.00, 0.33$",$0.31 \pm 0.10$,"$0.00, 0.33$",$0.92 \pm 0.29$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.31 \pm 0.10$,"$0.00, 0.33$",$0.31 \pm 0.10$,"$0.00, 0.33$",$0.08 \pm 0.29$,"$0.00, 1.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.92 \pm 0.29$,"$0.00, 1.00$",75_task=signaling_duration=one_shot_scenario=pure_math_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,signaling
$0.36 \pm 0.09$,"$0.33, 0.66$",$0.31 \pm 0.09$,"$0.01, 0.33$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.36 \pm 0.09$,"$0.33, 0.66$",$0.31 \pm 0.09$,"$0.01, 0.33$",$0.04 \pm 0.14$,"$0.00, 0.49$",$1.00 \pm 0.00$,"$1.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",76_task=signaling_duration=one_shot_scenario=pure_math_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=never_meet_again_long_term_type=.csv,signaling
$0.28 \pm 0.13$,"$0.00, 0.33$",$0.28 \pm 0.13$,"$0.00, 0.33$",$0.83 \pm 0.39$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.28 \pm 0.13$,"$0.00, 0.33$",$0.28 \pm 0.13$,"$0.00, 0.33$",$0.17 \pm 0.39$,"$0.00, 1.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.83 \pm 0.39$,"$0.00, 1.00$",77_task=signaling_duration=one_shot_scenario=grading_students_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,signaling
$0.28 \pm 0.19$,"$0.00, 0.67$",$0.22 \pm 0.16$,"$0.00, 0.33$",$0.75 \pm 0.45$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.28 \pm 0.19$,"$0.00, 0.67$",$0.22 \pm 0.16$,"$0.00, 0.33$",$0.29 \pm 0.45$,"$0.00, 1.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.75 \pm 0.45$,"$0.00, 1.00$",78_task=signaling_duration=one_shot_scenario=grading_students_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,signaling
$0.14 \pm 0.17$,"$0.00, 0.33$",$0.14 \pm 0.17$,"$0.00, 0.33$",$0.42 \pm 0.51$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.14 \pm 0.17$,"$0.00, 0.33$",$0.14 \pm 0.17$,"$0.00, 0.33$",$0.54 \pm 0.50$,"$0.00, 1.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.42 \pm 0.51$,"$0.00, 1.00$",79_task=signaling_duration=one_shot_scenario=grading_students_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=never_meet_again_long_term_type=.csv,signaling
$0.26 \pm 0.17$,"$0.00, 0.50$",$0.24 \pm 0.15$,"$0.00, 0.33$",$0.75 \pm 0.45$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.26 \pm 0.17$,"$0.00, 0.50$",$0.24 \pm 0.15$,"$0.00, 0.33$",$0.11 \pm 0.20$,"$0.00, 0.50$",$1.00 \pm 0.00$,"$1.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.83 \pm 0.39$,"$0.00, 1.00$",80_task=signaling_duration=one_shot_scenario=selling_products_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,signaling
$0.25 \pm 0.15$,"$0.00, 0.33$",$0.25 \pm 0.15$,"$0.00, 0.33$",$0.75 \pm 0.45$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.25 \pm 0.15$,"$0.00, 0.33$",$0.25 \pm 0.15$,"$0.00, 0.33$",$0.21 \pm 0.40$,"$0.00, 1.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.83 \pm 0.39$,"$0.00, 1.00$",81_task=signaling_duration=one_shot_scenario=selling_products_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,signaling
$0.14 \pm 0.17$,"$0.00, 0.33$",$0.14 \pm 0.17$,"$0.00, 0.33$",$0.42 \pm 0.51$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.14 \pm 0.17$,"$0.00, 0.33$",$0.14 \pm 0.17$,"$0.00, 0.33$",$0.58 \pm 0.51$,"$0.00, 1.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.42 \pm 0.51$,"$0.00, 1.00$",82_task=signaling_duration=one_shot_scenario=selling_products_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=never_meet_again_long_term_type=.csv,signaling
$0.36 \pm 0.10$,"$0.33, 0.67$",$0.31 \pm 0.10$,"$0.00, 0.33$",$1.00 \pm 0.00$,$1.08 \pm 0.29$,"$1.00, 2.00$",$0.36 \pm 0.10$,"$0.33, 0.67$",$0.31 \pm 0.10$,"$0.00, 0.33$",$0.04 \pm 0.14$,"$0.00, 0.50$",$1.00 \pm 0.00$,"$1.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",83_task=signaling_duration=long_term_scenario=pure_math_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,signaling
$0.33 \pm 0.00$,"$0.33, 0.33$",$0.33 \pm 0.00$,"$0.33, 0.33$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.33 \pm 0.00$,"$0.33, 0.33$",$0.33 \pm 0.00$,"$0.33, 0.33$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",84_task=signaling_duration=long_term_scenario=pure_math_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,signaling
$0.33 \pm 0.00$,"$0.33, 0.33$",$0.33 \pm 0.00$,"$0.33, 0.33$",$1.00 \pm 0.00$,$1.17 \pm 0.39$,"$1.00, 2.00$",$0.33 \pm 0.00$,"$0.33, 0.33$",$0.33 \pm 0.00$,"$0.33, 0.33$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",85_task=signaling_duration=long_term_scenario=grading_students_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,signaling
$0.36 \pm 0.10$,"$0.33, 0.67$",$0.31 \pm 0.10$,"$0.00, 0.33$",$1.00 \pm 0.00$,$1.58 \pm 0.51$,"$1.00, 2.00$",$0.36 \pm 0.10$,"$0.33, 0.67$",$0.31 \pm 0.10$,"$0.00, 0.33$",$0.04 \pm 0.14$,"$0.00, 0.50$",$1.00 \pm 0.00$,"$1.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",86_task=signaling_duration=long_term_scenario=grading_students_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,signaling
