run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
2,0.30000000000000004,0.7,True,1,0.7,0.30000000000000004,1,0.7
3,0.19999999999999996,0.8,True,1,0.8,0.19999999999999996,1,0.8
4,0.8,0.19999999999999996,True,0,0.8,0.19999999999999996,1,0.8
5,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
6,0.09999999999999998,0.9,True,1,0.9,0.09999999999999998,1,0.9
7,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
8,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
9,0.8,0.19999999999999996,True,0,0.8,0.19999999999999996,1,0.8
10,0.30000000000000004,0.7,True,1,0.7,0.30000000000000004,1,0.7
11,0.30000000000000004,0.7,True,1,0.7,0.30000000000000004,1,0.7
12,0.30000000000000004,0.7,True,1,0.7,0.30000000000000004,1,0.7
