run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
2,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
3,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
4,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
5,0.30000000000000004,0.7,True,1,0.7,0.30000000000000004,1,0.7
6,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
7,0.30000000000000004,0.7,True,1,0.7,0.30000000000000004,1,0.7
8,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
9,0.4,0.6,True,0,0.4,0.6,1,0.4
10,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
11,0,0,False,1,0,0,1,0.6
12,0.9,0.09999999999999998,True,0,0.9,0.09999999999999998,1,0.9
