run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.9,0.09999999999999998,True,0,0.9,0.09999999999999998,1,0.9
2,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
3,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
4,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
5,0.5,0.5,True,0,0.5,0.5,1,0.5
6,0.9,0.09999999999999998,True,0,0.9,0.09999999999999998,1,0.9
7,0.5,0.5,True,0,0.5,0.5,1,0.5
8,0.3,0.7,True,0,0.3,0.7,1,0.3
9,0.6,0.4,True,0,0.6,0.4,1,0.6
10,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
11,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
12,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
