run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.8,0.19999999999999996,True,0,0.8,0.19999999999999996,1,0.8
2,0.5,0.5,True,0,0.5,0.5,1,0.5
3,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
4,0.4,0.6,True,0,0.4,0.6,1,0.4
5,0.5,0.5,True,0,0.5,0.5,1,0.5
6,0.6,0.4,True,0,0.6,0.4,1,0.6
7,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
8,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
9,0,0,False,0,0,0,1,0.7
10,0.4,0.6,True,0,0.4,0.6,1,0.4
11,0.2,0.8,True,0,0.2,0.8,1,0.2
12,0.9,0.09999999999999998,True,0,0.9,0.09999999999999998,1,0.9
