run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
2,0.6,0.4,True,1,0.4,0.6,1,0.4
3,0.4,0.6,True,0,0.4,0.6,1,0.4
4,0.6,0.4,True,1,0.4,0.6,1,0.4
5,0.6,0.4,True,0,0.6,0.4,1,0.6
6,0.5,0.5,True,0,0.5,0.5,1,0.5
7,0.4,0.6,True,0,0.4,0.6,1,0.4
8,0.3,0.7,True,0,0.3,0.7,1,0.3
9,0.09999999999999998,0.9,True,1,0.9,0.09999999999999998,1,0.9
10,0.6,0.4,True,1,0.4,0.6,1,0.4
11,0.5,0.5,True,1,0.5,0.5,1,0.5
12,0.7,0.3,True,1,0.3,0.7,1,0.3
