run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.5,0.5,True,1,0.5,0.5,1,0.5
2,0.4,0.6,True,0,0.4,0.6,1,0.4
3,0.6,0.4,True,1,0.4,0.6,1,0.4
4,0.6,0.4,True,1,0.4,0.6,1,0.4
5,0.5,0.5,True,1,0.5,0.5,1,0.5
6,0.5,0.5,True,0,0.5,0.5,1,0.5
7,0.01,0.99,True,0,0.01,0.99,1,0.01
8,0.5,0.5,True,0,0.5,0.5,1,0.5
9,0.4,0.6,True,0,0.4,0.6,1,0.4
10,0.19999999999999996,0.8,True,1,0.8,0.19999999999999996,1,0.8
11,0.4,0.6,True,0,0.4,0.6,1,0.4
12,0.3,0.7,True,0,0.3,0.7,1,0.3
