run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.4,0.6,True,0,0.4,0.6,1,0.4
2,0.5,0.5,True,0,0.5,0.5,1,0.5
3,0.1,0.9,True,0,0.1,0.9,1,0.1
4,0.5,0.5,True,0,0.5,0.5,1,0.5
5,0.4,0.6,True,0,0.4,0.6,1,0.4
6,0.5,0.5,True,0,0.5,0.5,1,0.5
7,0.9,0.09999999999999998,True,0,0.9,0.09999999999999998,1,0.9
8,0.49,0.51,True,0,0.49,0.51,1,0.49
9,0.5,0.5,True,0,0.5,0.5,1,0.5
10,0.4,0.6,True,0,0.4,0.6,1,0.4
11,0.5,0.5,True,0,0.5,0.5,1,0.5
12,0.1,0.9,True,0,0.1,0.9,1,0.1
