run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.99,0.01,True,1,0.01,0.99,1,0.01
2,0.09999999999999998,0.9,True,1,0.9,0.09999999999999998,1,0.9
3,0.09999999999999998,0.9,True,1,0.9,0.09999999999999998,1,0.9
4,0.09999999999999998,0.9,True,1,0.9,0.09999999999999998,1,0.9
5,0.9,0.09999999999999998,True,0,0.9,0.09999999999999998,1,0.9
6,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
7,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
8,0.19999999999999996,0.8,True,1,0.8,0.19999999999999996,1,0.8
9,0,0,False,0,0,0,1,0.9
10,0.9,0.09999999999999998,True,0,0.9,0.09999999999999998,1,0.9
11,0.010000000000000009,0.99,True,1,0.99,0.010000000000000009,1,0.99
12,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
