run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.4,0.6,True,0,0.4,0.6,1,0.4
2,0.6,0.4,True,0,0.6,0.4,1,0.6
3,0.4,0.6,True,0,0.4,0.6,1,0.4
4,0.4,0.6,True,0,0.4,0.6,1,0.4
5,0.5,0.5,True,0,0.5,0.5,1,0.5
6,0.5,0.5,True,0,0.5,0.5,1,0.5
7,0.5,0.5,True,0,0.5,0.5,1,0.5
8,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
9,0.4,0.6,True,0,0.4,0.6,1,0.4
10,0.49,0.51,True,0,0.49,0.51,1,0.49
11,0.5,0.5,True,0,0.5,0.5,1,0.5
12,0.5,0.5,True,0,0.5,0.5,1,0.5
