run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.4,0.6,True,0,0.4,0.6,1,0.4
2,0.2,0.8,True,0,0.2,0.8,1,0.2
3,0.1,0.9,True,0,0.1,0.9,1,0.1
4,0.4,0.6,True,0,0.4,0.6,1,0.4
5,0.4,0.6,True,0,0.4,0.6,1,0.4
6,0.1,0.9,True,0,0.1,0.9,1,0.1
7,0.3,0.7,True,0,0.3,0.7,1,0.3
8,0.3,0.7,True,0,0.3,0.7,1,0.3
9,0.8,0.19999999999999996,True,0,0.8,0.19999999999999996,1,0.8
10,0.3,0.7,True,0,0.3,0.7,1,0.3
11,0.4,0.6,True,0,0.4,0.6,1,0.4
12,0.4,0.6,True,0,0.4,0.6,1,0.4
