run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.19999999999999996,0.8,True,1,0.8,0.19999999999999996,1,0.8
2,0.30000000000000004,0.7,True,1,0.7,0.30000000000000004,1,0.7
3,0.6,0.4,True,1,0.4,0.6,1,0.4
4,0.30000000000000004,0.7,True,1,0.7,0.30000000000000004,1,0.7
5,0.6,0.4,True,0,0.6,0.4,1,0.6
6,0.5,0.5,True,1,0.5,0.5,1,0.5
7,0.5,0.5,True,0,0.5,0.5,1,0.5
8,0.30000000000000004,0.7,True,1,0.7,0.30000000000000004,1,0.7
9,0.09999999999999998,0.9,True,1,0.9,0.09999999999999998,1,0.9
10,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
11,0.75,0.25,True,0,0.75,0.25,1,0.75
12,0.6,0.4,True,1,0.4,0.6,1,0.4
