run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.5,0.5,True,0,0.5,0.5,1,0.5
2,0.6,0.4,True,0,0.6,0.4,1,0.6
3,0.30000000000000004,0.7,True,1,0.7,0.30000000000000004,1,0.7
4,0.5,0.5,True,1,0.5,0.5,1,0.5
5,0.5,0.5,True,1,0.5,0.5,1,0.5
6,0.1,0.9,True,0,0.1,0.9,1,0.1
7,0.30000000000000004,0.7,True,1,0.7,0.30000000000000004,1,0.7
8,0.30000000000000004,0.7,True,1,0.7,0.30000000000000004,1,0.7
9,0.8,0.19999999999999996,True,0,0.8,0.19999999999999996,1,0.8
10,0.6,0.4,True,0,0.6,0.4,1,0.6
11,0.5,0.5,True,1,0.5,0.5,1,0.5
12,0.5,0.5,True,1,0.5,0.5,3,0.5
