run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.5,0.5,True,1,0.5,0.5,1,0.5
2,0.9,0.1,True,1,0.1,0.9,1,0.1
3,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
4,0.2,0.8,True,0,0.2,0.8,1,0.2
5,0.5,0.5,True,1,0.5,0.5,1,0.5
6,0.5,0.5,True,1,0.5,0.5,1,0.5
7,0.1,0.9,True,0,0.1,0.9,1,0.1
8,0.5,0.5,True,0,0.5,0.5,1,0.5
9,0.9,0.1,True,1,0.1,0.9,1,0.1
10,0.8,0.2,True,1,0.2,0.8,1,0.2
11,0.9,0.09999999999999998,True,0,0.9,0.09999999999999998,1,0.9
12,0.9,0.09999999999999998,True,0,0.9,0.09999999999999998,1,0.9
