run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.4,0.6,True,0,0.4,0.6,1,0.4
2,0.5,0.5,True,1,0.5,0.5,1,0.5
3,0.9,0.1,True,1,0.1,0.9,1,0.1
4,0.6,0.4,True,1,0.4,0.6,1,0.4
5,0.5,0.5,True,0,0.5,0.5,1,0.5
6,0.5,0.5,True,1,0.5,0.5,1,0.5
7,0.6,0.4,True,1,0.4,0.6,1,0.4
8,0.4,0.6,True,0,0.4,0.6,1,0.4
9,0.9,0.1,True,1,0.1,0.9,1,0.1
10,0.9,0.1,True,1,0.1,0.9,1,0.1
11,0.1,0.9,True,0,0.1,0.9,1,0.1
12,0.7,0.3,True,1,0.3,0.7,1,0.3
