run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.1,0.9,True,0,0.1,0.9,1,0.1
2,0.7,0.3,True,1,0.3,0.7,1,0.3
3,0.30000000000000004,0.7,True,1,0.7,0.30000000000000004,1,0.7
4,0.5,0.5,True,1,0.5,0.5,1,0.5
5,0.5,0.5,True,0,0.5,0.5,1,0.5
6,0.6,0.4,True,1,0.4,0.6,1,0.4
7,0.1,0.9,True,0,0.1,0.9,1,0.1
8,0.6,0.4,True,1,0.4,0.6,1,0.4
9,0.5,0.5,True,0,0.5,0.5,1,0.5
10,0.8,0.2,True,1,0.2,0.8,1,0.2
11,0.6,0.4,True,0,0.6,0.4,1,0.6
12,0.5,0.5,True,0,0.5,0.5,1,0.5
