run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.5,0.5,True,0,0.5,0.5,1,0.5
2,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
3,0.5,0.5,True,0,0.5,0.5,1,0.5
4,0.1,0.9,True,0,0.1,0.9,1,0.1
5,0.5,0.5,True,0,0.5,0.5,1,0.5
6,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
7,0.4,0.6,True,0,0.4,0.6,1,0.4
8,0.1,0.9,True,0,0.1,0.9,1,0.1
9,0.7,0.30000000000000004,True,0,0.7,0.30000000000000004,1,0.7
10,0.8,0.19999999999999996,True,0,0.8,0.19999999999999996,1,0.8
11,0.5,0.5,True,0,0.5,0.5,1,0.5
12,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
