run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.16666666666666666,0.5,True,1,0.5,0.16666666666666666,1,0.25
2,0.5,0.16666666666666666,True,0,0.5,0.16666666666666666,1,0.25
3,0.16666666666666666,0.5,True,1,0.5,0.16666666666666666,1,0.25
4,0.16666666666666666,0.5,True,1,0.5,0.16666666666666666,1,0.25
5,0.16666666666666666,0.5,True,1,0.5,0.16666666666666666,1,0.25
6,0.16666666666666666,0.5,True,1,0.5,0.16666666666666666,1,0.25
7,0.5,0.16666666666666666,True,0,0.5,0.16666666666666666,1,0.25
8,0.5,0.16666666666666666,True,0,0.5,0.16666666666666666,1,0.25
9,0.5,0.16666666666666666,True,0,0.5,0.16666666666666666,1,0.25
10,0.16666666666666666,0.5,True,1,0.5,0.16666666666666666,1,0.25
11,0.19999999999999998,0.4666666666666666,True,1,0.4666666666666666,0.19999999999999998,1,0.2
12,0.16666666666666666,0.5,True,1,0.5,0.16666666666666666,1,0.25
