run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.16666666666666666,0.5,True,1,0.5,0.16666666666666666,1,0.25
2,0.16666666666666666,0.5,True,1,0.5,0.16666666666666666,1,0.25
3,0.16666666666666666,0.5,True,1,0.5,0.16666666666666666,1,0.25
4,0.5,0.16666666666666666,True,0,0.5,0.16666666666666666,1,0.25
5,0.3333333333333333,0.3333333333333333,True,0,0.3333333333333333,0.3333333333333333,1,0
6,0.5,0.16666666666666666,True,0,0.5,0.16666666666666666,1,0.25
7,0.5,0.16666666666666666,True,0,0.5,0.16666666666666666,1,0.25
8,0.16666666666666666,0.5,True,1,0.5,0.16666666666666666,1,0.25
9,0.16666666666666666,0.5,True,1,0.5,0.16666666666666666,1,0.25
10,0.5,0.16666666666666666,True,0,0.5,0.16666666666666666,1,0.25
11,0.5,0.16666666666666666,True,0,0.5,0.16666666666666666,1,0.25
12,0.5,0.16666666666666666,True,0,0.5,0.16666666666666666,1,0.25
