run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision_x1,proposer_last_decision_x2,responder_last_response_y1,responder_last_response_y2
1,0,0,False,1,0,0,1,0.5,0.5,0.3,0.8
2,0,0,False,1,0,0,1,0.3,0.7,1,1
3,0.3333333333333333,0.3333333333333333,True,1,0.3333333333333333,0.3333333333333333,1,0,1,0,1
4,0.4,0.13333333333333333,True,0,0.4,0.13333333333333333,1,0.2,0.8,0,1
5,0.4,0.13333333333333333,True,1,0.13333333333333333,0.4,1,0.2,0.8,0.2,0.8
6,0,0,False,1,0,0,1,0,1,0.5,1
7,0,0,False,1,0,0,1,0.5,1,0,1
8,0,0,False,1,0,0,1,0.1,0.9,0.2,0.8
9,0.6499999999999999,-0.016666666666666663,True,0,0.6499999999999999,-0.016666666666666663,1,0.5,0.95,0,1
10,0.3333333333333333,0.3333333333333333,True,0,0.3333333333333333,0.3333333333333333,1,0,1,0,1
11,0.48333333333333334,0.016666666666666663,False,0,0.48333333333333334,0.016666666666666663,1,0.1,0.9,0.3,0.8
12,1.0,-0.3333333333333333,True,0,1.0,-0.3333333333333333,1,1,1,0,1
