run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision_x1,proposer_last_decision_x2,responder_last_response_y1,responder_last_response_y2
1,0.3333333333333333,0.3333333333333333,True,1,0.3333333333333333,0.3333333333333333,1,0,1,0,1
2,1.0,-0.3333333333333333,False,0,1.0,-0.3333333333333333,1,0,1,1,1
3,0.5499999999999999,-0.1166666666666667,False,0,0.5499999999999999,-0.1166666666666667,1,0.4,0.7,0.3,0.8
4,0,0,False,1,0,0,1,0.3,0.9,0.5,0.9
5,1.0,-0.3333333333333333,True,0,1.0,-0.3333333333333333,1,1,1,0,1
6,0,0,False,1,0,0,1,0.2,0.8,0.3,0.9
7,0.8333333333333333,-0.16666666666666669,False,0,0.8333333333333333,-0.16666666666666669,1,0.5,1,0.5,1
8,0.6666666666666666,0.0,True,0,0.6666666666666666,0.0,1,0.5,1,0,1
9,0,0,False,1,0,0,1,0.3,0.7,0.2,0.8
10,0.5,-0.16666666666666666,False,0,0.5,-0.16666666666666666,1,0.5,0.5,0.5,0.5
11,0,0,False,1,0,0,1,1,1,0,1
12,1.0,-0.3333333333333333,True,0,1.0,-0.3333333333333333,1,1,1,0,1
