run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision_x1,proposer_last_decision_x2,responder_last_response_y1,responder_last_response_y2
1,0.42000000000000004,0.07333333333333336,False,0,0.42000000000000004,0.07333333333333336,1,0.2,0.8,0.1,0.9
2,1.0,-0.3333333333333333,True,0,1.0,-0.3333333333333333,1,1,1,0,1
3,0.8999999999999999,-0.3,False,0,0.8999999999999999,-0.3,1,1,1,0.3,0.9
4,0.6666666666666666,0.0,True,0,0.6666666666666666,0.0,1,0.5,1,0,1
5,0.42000000000000004,0.07333333333333336,False,0,0.42000000000000004,0.07333333333333336,1,0.2,0.8,0.1,0.9
6,1.0,-0.3333333333333333,True,0,1.0,-0.3333333333333333,1,1,1,0,1
7,0.67,-0.06333333333333335,False,0,0.67,-0.06333333333333335,1,0.5,0.9,0.1,1
8,0.7,-0.18,False,0,0.7,-0.18,1,0.6,0.8,0.3,0.9
9,0.4,0.13333333333333333,False,0,0.4,0.13333333333333333,1,0,1,0.2,0.8
10,0.4,0.13333333333333333,True,0,0.4,0.13333333333333333,1,0.2,0.8,0,1
11,0.3333333333333333,0.3333333333333333,True,0,0.3333333333333333,0.3333333333333333,1,0,1,0,1
12,0.6699999999999999,-0.1966666666666667,False,0,0.6699999999999999,-0.1966666666666667,1,0.5,0.7,0.5,0.8
