run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision_x1,proposer_last_decision_x2,responder_last_response_y1,responder_last_response_y2
1,0,0,False,1,0,0,1,0.2,0.8,0,1
2,0.4033333333333334,0.08333333333333331,False,0,0.4033333333333334,0.08333333333333331,1,0.2,0.9,0.1,0.8
3,0.42000000000000004,0.07333333333333336,False,0,0.42000000000000004,0.07333333333333336,1,0.1,0.9,0.2,0.8
4,0.45666666666666667,0.09666666666666668,False,0,0.45666666666666667,0.09666666666666668,1,0.1,0.9,0.2,0.9
5,0.4033333333333334,0.08333333333333331,False,0,0.4033333333333334,0.08333333333333331,1,0.2,0.9,0.1,0.8
6,0,0,False,1,0,0,1,0.3,0.9,0.1,0.9
7,0.6733333333333333,-0.10000000000000003,False,0,0.6733333333333333,-0.10000000000000003,1,0.2,0.9,0.5,0.9
8,0,0,False,1,0,0,1,0.2,0.8,0.2,0.9
9,0,0,False,1,0,0,1,0.2,0.9,0.1,0.9
10,0.6000000000000001,-0.06666666666666671,False,0,0.6000000000000001,-0.06666666666666671,1,0.2,0.8,0.4,0.9
11,0.4,0.13333333333333333,True,1,0.13333333333333333,0.4,1,0.2,0.8,0.2,0.8
12,0,0,False,1,0,0,1,0.1,0.9,0.2,0.8
