run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision_x1,proposer_last_decision_x2,responder_last_response_y1,responder_last_response_y2
1,0,0,False,1,0,0,1,0.5,1,0.3,1
2,0,0,False,1,0,0,1,0.1,1,0,1
3,0,0,False,1,0,0,1,0.2,1,0.1,0.9
4,0,0,False,1,0,0,1,0.1,0.9,0.2,0.9
5,0,0,False,1,0,0,1,0.1,0.9,0.2,0.8
6,0.3333333333333333,0.3333333333333333,True,1,0.3333333333333333,0.3333333333333333,1,0,1,0,1
7,0,0,False,1,0,0,1,0.5,0.8,0.2,0.9
8,0,0,False,1,0,0,1,0.2,0.8,0.2,0.9
9,0.54,-0.020000000000000018,False,0,0.54,-0.020000000000000018,1,0.2,0.8,0.3,0.9
10,0.36000000000000004,0.12000000000000001,False,0,0.36000000000000004,0.12000000000000001,1,0.2,0.8,0,0.9
11,0.36666666666666664,0.23333333333333334,True,1,0.23333333333333334,0.36666666666666664,1,0.1,0.9,0.1,0.9
12,0.42000000000000004,0.07333333333333336,False,0,0.42000000000000004,0.07333333333333336,1,0.2,0.8,0.1,0.9
