run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision_x1,proposer_last_decision_x2,responder_last_response_y1,responder_last_response_y2
1,0,0,False,1,0,0,1,0.2,0.8,0.6,0.9
2,0,0,False,1,0,0,1,0.2,0.9,0.1,0.9
3,0,0,False,1,0,0,1,0.3,0.8,0.1,0.9
4,0.45666666666666667,0.09666666666666668,False,0,0.45666666666666667,0.09666666666666668,1,0.1,0.9,0.2,0.9
5,0,0,False,1,0,0,1,0.1,0.9,0.2,0.8
6,0.48333333333333334,0.016666666666666663,False,0,0.48333333333333334,0.016666666666666663,1,0.1,0.9,0.3,0.8
7,0,0,False,1,0,0,1,0.2,0.8,0.3,0.9
8,0.5,-0.006666666666666599,False,0,0.5,-0.006666666666666599,1,0.3,0.9,0.2,0.8
9,0,0,False,1,0,0,1,0.6,0.9,0.3,0.8
10,0,0,False,1,0,0,1,0.2,0.8,0.1,0.9
11,0.6666666666666666,0.0,False,0,0.6666666666666666,0.0,1,0,1,0.5,1
12,0.54,-0.020000000000000018,False,0,0.54,-0.020000000000000018,1,0.2,0.8,0.3,0.9
