run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision_x1,proposer_last_decision_x2,responder_last_response_y1,responder_last_response_y2
1,0.3333333333333333,0.3333333333333333,True,0,0.3333333333333333,0.3333333333333333,1,0,1,0,1
2,0.5033333333333333,-0.04333333333333331,False,0,0.5033333333333333,-0.04333333333333331,1,0.3,0.7,0.2,0.9
3,0.42000000000000004,0.07333333333333336,False,0,0.42000000000000004,0.07333333333333336,1,0.2,0.8,0.1,0.9
4,0.44666666666666666,0.09999999999999998,False,0,0.44666666666666666,0.09999999999999998,1,0.2,0.9,0.1,0.9
5,1.0,-0.3333333333333333,True,0,1.0,-0.3333333333333333,1,1.0,1.0,0,1
6,0.45666666666666667,0.09666666666666668,False,0,0.45666666666666667,0.09666666666666668,1,0.1,0.9,0.2,0.9
7,0.4733333333333334,0.020000000000000018,False,0,0.4733333333333334,0.020000000000000018,1,0.3,0.8,0.1,0.9
8,0.5800000000000001,-0.08666666666666661,False,0,0.5800000000000001,-0.08666666666666661,1,0.5,0.9,0.2,0.8
9,0.42000000000000004,0.07333333333333336,False,0,0.42000000000000004,0.07333333333333336,1,0.1,0.9,0.2,0.8
10,0.42000000000000004,0.07333333333333336,False,0,0.42000000000000004,0.07333333333333336,1,0.2,0.8,0.1,0.9
11,0.6499999999999999,-0.13666666666666666,False,0,0.6499999999999999,-0.13666666666666666,1,0.3,0.9,0.5,0.8
12,0.42000000000000004,0.07333333333333336,False,0,0.42000000000000004,0.07333333333333336,1,0.2,0.8,0.1,0.9
